UKPRN,ProviderName,ProviderType,Breakdown_code,Breakdown,Completions_2014,Completions_2015,Sustained_Employment_Rate_2014,Sustained_Employment_Rate_2015,Sustained_Learning_Rate_2014,Sustained_Learning_Rate_2015,Sustained_Positive_Destination_Rate_2014,Sustained_Positive_Destination_Rate_2015,Learning_Rate_2014,Learning_Rate_2015,Positive_Destination_Rate_2014,Positive_Destination_Rate_2015,Benefit_Learners_Completions_2014,Benefit_Learners_Completions_2015,Benefit_Learners_Sustained_Employment_Rate_2014,Benefit_Learners_Sustained_Employment_Rate_2015
10000020,5 E LTD.,Private Sector Public Funded,All,All,850,740,47,42,10,8,54,47,31,22,68,55,700,550,46,41
10000020,5 E LTD.,Private Sector Public Funded,Gender,Female,360,320,46,39,10,9,54,44,32,26,68,56,300,220,48,41
10000020,5 E LTD.,Private Sector Public Funded,Gender,Male,490,420,47,44,9,7,54,50,31,19,68,55,410,320,45,41
10000020,5 E LTD.,Private Sector Public Funded,Age,Under 19,10,30,x,x,29,38,64,62,50,48,79,66,x,20,x,x
10000020,5 E LTD.,Private Sector Public Funded,Age,19 - 24,90,160,56,45,20,9,68,49,40,23,75,58,70,130,51,41
10000020,5 E LTD.,Private Sector Public Funded,Age,25 - 49,520,400,46,45,9,6,53,49,29,20,66,57,430,280,45,44
10000020,5 E LTD.,Private Sector Public Funded,Age,50+,230,160,47,32,5,6,52,37,32,21,70,48,200,120,47,34
10000020,5 E LTD.,Private Sector Public Funded,Provision,Skills,830,730,46,42,10,8,53,46,32,22,68,55,700,540,46,41
10000020,5 E LTD.,Private Sector Public Funded,Provision,Apprenticeship,20,10,x,x,x,x,88,83,x,25,88,92,x,x,x,x
10000020,5 E LTD.,Private Sector Public Funded,Level,Level 4+,40,30,57,x,29,x,69,68,46,20,77,68,20,x,x,x
10000020,5 E LTD.,Private Sector Public Funded,Level,Full Level 3,80,90,63,59,11,5,71,62,16,12,72,65,40,50,56,43
10000020,5 E LTD.,Private Sector Public Funded,Level,Level 3 - Other,20,20,x,x,x,x,63,47,x,33,63,53,10,x,x,x
10000020,5 E LTD.,Private Sector Public Funded,Level,Full Level 2,250,100,46,40,10,8,53,45,31,22,66,56,210,80,47,40
10000020,5 E LTD.,Private Sector Public Funded,Level,Level 2 - Other,20,x,x,x,16,x,68,x,21,x,68,x,20,x,x,x
10000020,5 E LTD.,Private Sector Public Funded,Level,Below level 2 (excl. Traineeships),430,400,43,38,7,7,49,42,33,23,68,52,380,310,44,41
10000020,5 E LTD.,Private Sector Public Funded,Level,Traineeships,30,110,x,42,19,14,62,48,42,26,73,56,20,90,x,41
10000020,5 E LTD.,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,180,150,35,24,12,6,46,30,35,19,62,39,140,110,38,25
10000020,5 E LTD.,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,No Learning Difficulties/Disability,660,580,50,47,9,8,57,51,30,23,70,60,560,440,48,45
